Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Prefixado;01/01/2012;01/06/2009; R$ 769,22 ;95.564; R$ 73.510.223,26 
Tesouro Selic;07/03/2012;01/06/2009; R$ 3.928,13 ;61.672; R$ 242.255.551,81 
Tesouro Selic;17/03/2010;01/06/2009; R$ 3.925,53 ;21.636; R$ 84.931.149,12 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/10/2004; R$ 1.033,23 ;343; R$ 354.399,43 
Tesouro IPCA+ com Juros Semestrais;15/08/2006;01/10/2004; R$ 1.410,84 ;8.738; R$ 12.328.182,37 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/10/2004; R$ 1.223,20 ;2.099; R$ 2.567.734,50 
Tesouro IPCA+ com Juros Semestrais;15/05/2009;01/10/2004; R$ 1.335,00 ;3.587; R$ 4.788.126,41 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/10/2004; R$ 1.089,15 ;7.825; R$ 8.522.144,09 
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/10/2004; R$ 1.789,10 ;172; R$ 308.082,16 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/09/2004; R$ 2.277,18 ;17.551; R$ 39.966.393,81 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/09/2004; R$ 1.440,13 ;8.730; R$ 12.572.605,85 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/09/2004; R$ 1.412,99 ;15.408; R$ 21.771.105,62 
Tesouro Prefixado;01/01/2006;01/09/2004; R$ 812,01 ;32.717; R$ 26.566.197,00 
Tesouro Prefixado;04/01/2005;01/09/2004; R$ 959,75 ;25.945; R$ 24.900.263,01 
Tesouro Prefixado;01/10/2004;01/09/2004; R$ 999,34 ;25.334; R$ 25.317.172,57 
Tesouro Prefixado;01/07/2005;01/09/2004; R$ 890,01 ;25.613; R$ 22.795.597,72 
Tesouro Prefixado;01/04/2005;01/09/2004; R$ 924,78 ;9.531; R$ 8.814.488,36 
Tesouro Prefixado com Juros Semestrais;01/01/2008;01/09/2004; R$ 856,22 ;15.846; R$ 13.567.949,25 
Tesouro IGPM+ com Juros Semestrais;01/04/2008;01/09/2004; R$ 1.675,02 ;16.992; R$ 28.461.191,88 
Tesouro IGPM+ com Juros Semestrais;01/12/2005;01/09/2004; R$ 1.740,91 ;53.363; R$ 92.901.128,79 
Tesouro IGPM+ com Juros Semestrais;01/07/2005;01/09/2004; R$ 1.738,43 ;1.988; R$ 3.455.989,65 
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/09/2004; R$ 1.539,51 ;12.061; R$ 18.567.678,20 
Tesouro Selic;16/02/2005;01/09/2004; R$ 2.073,34 ;9.603; R$ 19.911.122,94 
Tesouro Selic;17/01/2007;01/09/2004; R$ 2.026,50 ;12.753; R$ 25.844.352,94 
Tesouro Selic;18/06/2008;01/09/2004; R$ 2.057,74 ;1.131; R$ 2.326.891,57 
Tesouro Selic;18/01/2006;01/09/2004; R$ 2.063,70 ;5.979; R$ 12.339.283,21 
Tesouro Selic;18/03/2009;01/09/2004; R$ 2.059,98 ;3.886; R$ 8.005.915,77 
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/09/2004; R$ 1.772,06 ;218; R$ 387.018,65 
Tesouro Prefixado;01/10/2004;01/04/2003; R$ 871,81 ;315; R$ 274.795,22 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/04/2003; R$ 1.124,99 ;644; R$ 724.941,13 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/04/2003; R$ 1.039,16 ;2.372; R$ 2.465.087,27 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/04/2003; R$ 1.841,03 ;6.814; R$ 12.544.392,07 
Tesouro Prefixado;01/10/2003;01/04/2003; R$ 903,47 ;13.431; R$ 12.134.677,98 
Tesouro Prefixado;01/07/2004;01/04/2003; R$ 764,47 ;2.150; R$ 1.643.313,42 
Tesouro Prefixado;07/01/2004;01/04/2003; R$ 859,87 ;10.051; R$ 8.642.336,03 
Tesouro IGPM+ com Juros Semestrais;01/04/2008;01/04/2003; R$ 1.350,39 ;2.855; R$ 3.855.373,70 
Tesouro IGPM+ com Juros Semestrais;01/12/2005;01/04/2003; R$ 1.483,21 ;15.312; R$ 22.711.560,14 
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/04/2003; R$ 1.249,20 ;2.976; R$ 3.718.129,33 
Tesouro IGPM+ com Juros Semestrais;01/07/2005;01/04/2003; R$ 1.478,40 ;2.838; R$ 4.195.104,17 
Tesouro Selic;16/02/2005;01/04/2003; R$ 1.584,64 ;4.820; R$ 7.637.941,12 
Tesouro Selic;17/01/2007;01/04/2003; R$ 1.526,04 ;3.699; R$ 5.644.519,99 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/12/2023; R$ 4.386,86 ;351.847; R$ 1.543.505.642,65 
Tesouro Prefixado;01/01/2025;01/12/2023; R$ 907,63 ;4.812.498; R$ 4.367.947.077,15 
Tesouro Selic;01/09/2024;01/12/2023; R$ 14.261,26 ;284.269; R$ 4.054.026.369,47 
Tesouro Prefixado;01/01/2029;01/12/2023; R$ 564,47 ;5.662.406; R$ 3.196.259.787,43 
Tesouro Selic;01/03/2029;01/02/2024; R$ 14.400,93 ;900.898; R$ 12.973.770.953,89 
