Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Prefixado;01/01/2025;01/06/2022; R$ 795,95 ;4.298.376; R$ 3.421.277.780,72 
Tesouro Selic;01/09/2024;01/06/2022; R$ 11.800,65 ;476.357; R$ 5.621.326.625,74 
Tesouro Selic;01/03/2025;01/06/2022; R$ 11.823,96 ;926.833; R$ 10.958.834.556,39 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/06/2022; R$ 1.120,54 ;1.301.931; R$ 1.458.865.217,50 
Tesouro IPCA+;15/08/2026;01/06/2022; R$ 3.366,23 ;3.789.857; R$ 12.757.531.670,71 
Tesouro Prefixado;01/01/2026;01/06/2022; R$ 768,25 ;3.738.457; R$ 2.872.060.418,54 
Tesouro Selic;01/03/2027;01/06/2022; R$ 11.707,95 ;705.607; R$ 8.261.207.747,79 
Tesouro Prefixado;01/07/2024;01/06/2022; R$ 830,61 ;3.271.153; R$ 2.717.059.169,55 
Tesouro IPCA+ com Juros Semestrais;15/08/2032;01/06/2022; R$ 4.183,30 ;110.432; R$ 461.969.546,21 
Tesouro Prefixado com Juros Semestrais;01/01/2033;01/06/2022; R$ 916,62 ;310.488; R$ 284.599.420,32 
Tesouro Prefixado;01/01/2029;01/06/2022; R$ 469,11 ;697.609; R$ 327.258.196,18 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/11/2021; R$ 3.632,38 ;36.553; R$ 132.772.851,69 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/11/2021; R$ 1.032,52 ;112.525; R$ 116.184.004,87 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/01/2022; R$ 4.879,90 ;305.159; R$ 1.489.144.800,83 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/01/2022; R$ 4.055,38 ;488.779; R$ 1.982.184.605,13 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/01/2022; R$ 1.085,60 ;1.394.362; R$ 1.513.725.672,58 
Tesouro IPCA+;15/08/2026;01/01/2022; R$ 3.198,62 ;3.123.162; R$ 9.989.815.058,75 
Tesouro Prefixado;01/01/2026;01/01/2022; R$ 746,11 ;4.213.889; R$ 3.144.040.035,95 
Tesouro Selic;01/03/2027;01/01/2022; R$ 11.152,61 ;431.161; R$ 4.808.567.597,91 
Tesouro Prefixado;01/07/2024;01/01/2022; R$ 801,71 ;3.490.212; R$ 2.798.120.568,83 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/02/2022; R$ 1.090,13 ;1.403.848; R$ 1.530.371.471,05 
Tesouro IPCA+;15/08/2026;01/02/2022; R$ 3.224,27 ;3.232.351; R$ 10.421.969.120,43 
Tesouro Prefixado;01/01/2026;01/02/2022; R$ 749,56 ;4.186.836; R$ 3.138.264.638,01 
Tesouro Selic;01/03/2027;01/02/2022; R$ 11.248,90 ;488.831; R$ 5.498.809.623,98 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/03/2022; R$ 3.842,31 ;36.153; R$ 138.909.970,88 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/03/2022; R$ 4.950,40 ;329.494; R$ 1.631.124.520,57 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/03/2022; R$ 4.058,65 ;477.003; R$ 1.935.990.216,04 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/10/2021; R$ 3.686,49 ;36.641; R$ 135.077.164,77 
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/11/2021; R$ 1.094,59 ;689.649; R$ 754.884.972,75 
Tesouro Prefixado;01/01/2022;01/11/2021; R$ 993,77 ;803.600; R$ 798.593.558,85 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/11/2021; R$ 4.355,76 ;420.274; R$ 1.830.610.972,13 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/11/2021; R$ 4.663,64 ;152.438; R$ 710.918.576,76 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/11/2021; R$ 7.300,07 ;7.748; R$ 56.563.758,13 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/11/2021; R$ 3.769,79 ;31.073; R$ 117.139.339,63 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/12/2021; R$ 1.002,75 ;269.644; R$ 270.385.533,64 
Tesouro Prefixado;01/01/2023;01/12/2021; R$ 909,31 ;3.019.323; R$ 2.745.513.259,99 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/01/2022; R$ 962,48 ;265.439; R$ 255.480.969,89 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/01/2022; R$ 1.001,87 ;111.364; R$ 111.572.991,10 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/02/2022; R$ 4.904,81 ;315.010; R$ 1.545.067.399,49 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/02/2022; R$ 3.987,36 ;482.933; R$ 1.925.626.129,37 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/03/2022; R$ 4.406,86 ;471.739; R$ 2.078.886.886,98 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/03/2022; R$ 4.659,34 ;186.336; R$ 868.200.902,32 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/03/2022; R$ 7.614,77 ;7.734; R$ 58.892.559,10 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/03/2022; R$ 3.874,41 ;30.232; R$ 117.132.890,00 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/03/2022; R$ 4.334,40 ;328.810; R$ 1.425.192.987,65 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/03/2022; R$ 979,35 ;257.614; R$ 252.293.860,12 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/10/2021; R$ 3.977,65 ;423.493; R$ 1.684.504.340,63 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/10/2021; R$ 4.321,30 ;394.670; R$ 1.705.485.722,45 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/10/2021; R$ 4.619,00 ;148.544; R$ 686.124.337,77 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/10/2021; R$ 7.250,36 ;7.749; R$ 56.185.830,68 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/10/2021; R$ 3.712,03 ;31.197; R$ 115.803.404,60 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/11/2021; R$ 4.220,88 ;338.142; R$ 1.427.257.734,12 
Tesouro IPCA+;15/08/2024;01/11/2021; R$ 3.261,69 ;3.656.549; R$ 11.926.531.434,74 
Tesouro Prefixado;01/01/2025;01/11/2021; R$ 765,22 ;3.426.446; R$ 2.621.987.562,30 
Tesouro Selic;01/09/2024;01/11/2021; R$ 11.092,74 ;400.038; R$ 4.437.514.865,53 
Tesouro Selic;01/03/2025;01/11/2021; R$ 11.132,49 ;697.935; R$ 7.769.752.311,34 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/11/2021; R$ 3.925,82 ;420.119; R$ 1.649.313.212,97 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/12/2021; R$ 3.683,65 ;36.532; R$ 134.571.087,60 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/12/2021; R$ 4.390,96 ;444.919; R$ 1.953.621.045,92 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/12/2021; R$ 4.700,02 ;158.851; R$ 746.603.948,27 
Tesouro Prefixado;01/01/2023;01/01/2022; R$ 916,52 ;2.964.020; R$ 2.716.594.941,22 
Tesouro Prefixado;01/07/2024;01/02/2022; R$ 805,54 ;3.690.645; R$ 2.972.967.779,10 
Tesouro Prefixado;01/01/2023;01/03/2022; R$ 930,78 ;2.847.837; R$ 2.650.701.246,50 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/04/2022; R$ 1.105,04 ;1.350.886; R$ 1.492.785.884,70 
Tesouro IPCA+;15/08/2026;01/04/2022; R$ 3.314,86 ;3.513.865; R$ 11.647.986.544,41 
Tesouro Prefixado;01/01/2013;01/08/2010; R$ 764,33 ;423.843; R$ 323.957.650,57 
Tesouro Prefixado;01/01/2012;01/08/2010; R$ 864,67 ;374.776; R$ 324.058.691,87 
Tesouro Prefixado;01/07/2011;01/08/2010; R$ 914,05 ;32.444; R$ 29.655.527,66 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/08/2010; R$ 2.076,03 ;8.419; R$ 17.478.508,76 
Tesouro Prefixado;01/01/2011;01/08/2010; R$ 965,29 ;197.559; R$ 190.701.189,38 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/08/2010; R$ 1.998,25 ;8.275; R$ 16.535.124,75 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/08/2010; R$ 3.048,82 ;12.246; R$ 37.335.204,80 
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/08/2010; R$ 2.388,77 ;12.979; R$ 31.003.322,31 
Tesouro Selic;07/03/2015;01/07/2010; R$ 4.310,47 ;9.029; R$ 38.917.520,02 
Tesouro Selic;07/03/2013;01/07/2010; R$ 4.311,02 ;23.233; R$ 100.158.862,81 
Tesouro Selic;16/03/2011;01/07/2010; R$ 4.312,16 ;7.414; R$ 31.972.096,24 
Tesouro Selic;07/03/2014;01/07/2010; R$ 4.312,29 ;29.217; R$ 125.993.120,64 
Tesouro Selic;07/03/2012;01/07/2010; R$ 4.312,21 ;64.362; R$ 277.541.814,23 
Tesouro Prefixado;01/01/2017;01/11/2013; R$ 730,78 ;542.853; R$ 396.706.976,65 
Tesouro Prefixado;01/01/2016;01/11/2013; R$ 824,71 ;769.958; R$ 634.989.316,43 
Tesouro Prefixado;01/01/2014;01/11/2013; R$ 990,70 ;342.207; R$ 339.024.574,13 
Tesouro Prefixado;01/01/2015;01/11/2013; R$ 891,79 ;598.664; R$ 533.884.467,75 
Tesouro Prefixado;01/01/2017;01/12/2013; R$ 731,82 ;641.766; R$ 469.658.224,80 
Tesouro Prefixado;01/01/2016;01/12/2013; R$ 829,12 ;809.876; R$ 671.486.683,22 
Tesouro Prefixado;01/01/2014;01/12/2013; R$ 999,56 ;338.099; R$ 337.948.351,14 
Tesouro Prefixado;01/01/2015;01/12/2013; R$ 899,27 ;592.265; R$ 532.606.436,52 
Tesouro Selic;07/03/2017;01/11/2013; R$ 5.854,50 ;113.624; R$ 665.213.358,36 
Tesouro Selic;07/03/2014;01/11/2013; R$ 5.850,94 ;15.137; R$ 88.565.702,45 
Tesouro Selic;07/03/2015;01/11/2013; R$ 5.850,07 ;51.881; R$ 303.509.225,10 
Tesouro IPCA+;15/05/2035;01/12/2013; R$ 828,30 ;1.266.711; R$ 1.049.221.871,66 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/12/2013; R$ 2.823,99 ;78.251; R$ 220.978.943,00 
Tesouro IPCA+ com Juros Semestrais;15/05/2017;01/12/2013; R$ 2.383,43 ;78.054; R$ 186.037.020,66 
Tesouro IPCA+ com Juros Semestrais;15/08/2020;01/12/2013; R$ 2.549,64 ;283.642; R$ 723.184.848,06 
Tesouro IPCA+;15/05/2015;01/12/2013; R$ 2.168,22 ;893.024; R$ 1.936.274.445,56 
Tesouro IPCA+;15/08/2024;01/12/2013; R$ 1.318,19 ;922.709; R$ 1.216.303.872,39 
Tesouro Selic;07/03/2017;01/12/2013; R$ 5.898,31 ;120.310; R$ 709.623.981,01 
Tesouro Selic;07/03/2014;01/12/2013; R$ 5.894,93 ;14.924; R$ 87.976.519,01 
Tesouro Selic;07/03/2015;01/12/2013; R$ 5.894,12 ;50.866; R$ 299.809.332,27 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/12/2013; R$ 2.361,14 ;290.251; R$ 685.323.213,97 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/12/2013; R$ 2.608,40 ;119.786; R$ 312.450.717,77 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/12/2013; R$ 2.340,02 ;58.376; R$ 136.601.320,20 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/12/2013; R$ 2.292,56 ;69.846; R$ 160.125.010,89 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/11/2013; R$ 2.768,32 ;7.187; R$ 19.894.755,99 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/11/2013; R$ 2.548,38 ;7.307; R$ 18.620.486,21 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/11/2013; R$ 3.813,05 ;10.883; R$ 41.495.892,96 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/12/2013; R$ 1.028,59 ;288.983; R$ 297.244.177,83 
Tesouro Prefixado com Juros Semestrais;01/01/2014;01/12/2013; R$ 1.048,30 ;104.897; R$ 109.963.496,38 
Tesouro Prefixado com Juros Semestrais;01/01/2021;01/12/2013; R$ 974,27 ;214.184; R$ 208.673.998,64 
Tesouro IPCA+ com Juros Semestrais;15/08/2008;01/03/2007; R$ 1.573,62 ;23.825; R$ 37.490.959,96 
Tesouro IPCA+ com Juros Semestrais;15/05/2011;01/03/2007; R$ 1.510,09 ;14.855; R$ 22.431.772,37 
Tesouro IPCA+ com Juros Semestrais;15/08/2010;01/03/2007; R$ 1.494,06 ;17.290; R$ 25.832.368,21 
Tesouro IPCA+ com Juros Semestrais;15/05/2009;01/03/2007; R$ 1.562,86 ;27.852; R$ 43.528.443,46 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/03/2007; R$ 1.427,68 ;12.230; R$ 17.461.126,19 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/03/2007; R$ 1.339,60 ;2.941; R$ 3.940.288,76 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/03/2007; R$ 1.272,65 ;10.138; R$ 12.902.638,43 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/03/2007; R$ 1.228,37 ;12.219; R$ 15.009.938,12 
Tesouro Prefixado com Juros Semestrais;01/07/2010;01/03/2007; R$ 975,58 ;1.886; R$ 1.840.130,23 
Tesouro Prefixado com Juros Semestrais;01/01/2008;01/03/2007; R$ 980,42 ;37.308; R$ 36.577.349,49 
Tesouro Prefixado com Juros Semestrais;01/01/2010;01/03/2007; R$ 936,90 ;25.752; R$ 24.126.924,17 
Tesouro Prefixado com Juros Semestrais;01/01/2014;01/03/2007; R$ 897,42 ;23.632; R$ 21.207.713,34 
Tesouro Prefixado com Juros Semestrais;01/01/2017;01/03/2007; R$ 911,08 ;6.322; R$ 5.760.240,97 
Tesouro Prefixado com Juros Semestrais;01/01/2012;01/03/2007; R$ 883,13 ;28.474; R$ 25.146.028,69 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/03/2007; R$ 1.625,06 ;10.774; R$ 17.508.740,40 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/03/2007; R$ 2.535,06 ;15.751; R$ 39.930.798,12 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/03/2007; R$ 1.581,41 ;10.881; R$ 17.207.946,93 
Tesouro Prefixado;01/01/2009;01/03/2007; R$ 797,59 ;116.631; R$ 93.023.759,96 
Tesouro Prefixado;01/04/2008;01/03/2007; R$ 889,39 ;22.738; R$ 20.223.336,31 
Tesouro Prefixado;01/07/2008;01/03/2007; R$ 845,42 ;61.011; R$ 51.579.404,44 
Tesouro Prefixado;01/10/2007;01/03/2007; R$ 938,30 ;49.234; R$ 46.196.421,79 
Tesouro Prefixado;01/01/2008;01/03/2007; R$ 898,64 ;71.390; R$ 64.154.582,44 
Tesouro Prefixado;01/04/2007;01/03/2007; R$ 1.000,00 ;44.004; R$ 44.003.600,00 
Tesouro Prefixado;01/07/2007;01/03/2007; R$ 965,48 ;64.088; R$ 61.876.136,45 
Tesouro Selic;07/03/2012;01/03/2007; R$ 3.053,01 ;5.648; R$ 17.244.023,74 
Tesouro IPCA+ com Juros Semestrais;15/05/2007;01/03/2007; R$ 1.664,20 ;13.643; R$ 22.704.647,29 
Tesouro IPCA+;15/05/2015;01/03/2007; R$ 831,92 ;56.423; R$ 46.939.273,64 
Tesouro IPCA+;15/08/2024;01/03/2007; R$ 421,76 ;99.037; R$ 41.770.380,88 
Tesouro IPCA+ com Juros Semestrais;15/08/2008;01/02/2007; R$ 1.551,96 ;23.090; R$ 35.834.499,63 
Tesouro IPCA+ com Juros Semestrais;15/08/2010;01/02/2007; R$ 1.472,83 ;16.974; R$ 25.000.372,79 
Tesouro IPCA+ com Juros Semestrais;15/05/2009;01/02/2007; R$ 1.540,52 ;26.689; R$ 41.114.310,87 
Tesouro IPCA+ com Juros Semestrais;15/05/2011;01/02/2007; R$ 1.487,71 ;14.188; R$ 21.107.979,35 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/02/2007; R$ 1.404,76 ;11.670; R$ 16.393.021,26 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/02/2007; R$ 1.309,65 ;2.620; R$ 3.431.548,72 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/02/2007; R$ 1.251,98 ;9.677; R$ 12.115.399,12 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/02/2007; R$ 1.210,99 ;12.306; R$ 14.902.960,31 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/09/2004; R$ 1.021,30 ;144; R$ 147.066,93 
Tesouro IPCA+ com Juros Semestrais;15/08/2006;01/09/2004; R$ 1.394,30 ;7.830; R$ 10.917.106,97 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/09/2004; R$ 1.209,62 ;2.101; R$ 2.541.178,44 
Tesouro IPCA+ com Juros Semestrais;15/05/2009;01/09/2004; R$ 1.319,10 ;3.722; R$ 4.910.235,23 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/09/2004; R$ 1.074,15 ;7.854; R$ 8.436.349,49 
Tesouro Selic;07/03/2013;01/01/2010; R$ 4.126,97 ;3.174; R$ 13.099.815,19 
Tesouro Selic;16/03/2011;01/01/2010; R$ 4.126,35 ;8.034; R$ 33.152.750,46 
Tesouro Selic;07/03/2014;01/01/2010; R$ 4.126,43 ;30.332; R$ 125.163.000,38 
Tesouro Selic;07/03/2012;01/01/2010; R$ 4.126,38 ;67.719; R$ 279.435.200,29 
Tesouro Selic;17/03/2010;01/01/2010; R$ 4.125,66 ;19.066; R$ 78.660.696,72 
Tesouro IPCA+;15/05/2015;01/01/2010; R$ 1.264,39 ;347.563; R$ 439.454.426,98 
Tesouro IPCA+ com Juros Semestrais;15/08/2012;01/01/2010; R$ 1.873,33 ;99.671; R$ 186.716.022,25 
Tesouro IPCA+ com Juros Semestrais;15/05/2017;01/01/2010; R$ 1.688,56 ;18.135; R$ 30.621.690,09 
Tesouro IPCA+ com Juros Semestrais;15/08/2010;01/01/2010; R$ 1.902,17 ;95.824; R$ 182.274.187,57 
Tesouro IPCA+ com Juros Semestrais;15/05/2011;01/01/2010; R$ 1.840,43 ;74.275; R$ 136.698.449,93 
Tesouro IPCA+;15/08/2024;01/01/2010; R$ 684,34 ;232.755; R$ 159.283.278,17 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/01/2010; R$ 1.707,09 ;13.190; R$ 22.516.191,53 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/01/2010; R$ 1.786,28 ;80.035; R$ 142.965.612,70 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/01/2010; R$ 1.662,62 ;25.228; R$ 41.945.228,96 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/01/2010; R$ 1.587,21 ;34.965; R$ 55.496.178,58 
Tesouro IPCA+ com Juros Semestrais;15/08/2020;01/01/2010; R$ 1.833,89 ;8.892; R$ 16.307.668,72 
Tesouro IPCA+ com Juros Semestrais;15/05/2013;01/01/2010; R$ 1.766,67 ;14.701; R$ 25.972.135,65 
Tesouro Prefixado com Juros Semestrais;01/01/2011;01/12/2009; R$ 1.013,07 ;33.235; R$ 33.669.430,14 
Tesouro Prefixado com Juros Semestrais;01/01/2013;01/12/2009; R$ 942,46 ;21.652; R$ 20.405.720,72 
Tesouro Prefixado com Juros Semestrais;01/07/2010;01/12/2009; R$ 1.035,20 ;41.706; R$ 43.173.652,16 
Tesouro Prefixado com Juros Semestrais;01/01/2014;01/12/2009; R$ 959,52 ;141.053; R$ 135.342.842,61 
Tesouro Prefixado com Juros Semestrais;01/01/2010;01/12/2009; R$ 1.048,27 ;44.490; R$ 46.638.163,58 
Tesouro Prefixado com Juros Semestrais;01/01/2017;01/12/2009; R$ 906,73 ;268.527; R$ 243.481.592,27 
Tesouro Prefixado com Juros Semestrais;01/01/2012;01/12/2009; R$ 982,28 ;47.000; R$ 46.166.681,87 
Tesouro IPCA+ com Juros Semestrais;15/08/2020;01/12/2009; R$ 1.810,53 ;7.473; R$ 13.530.442,87 
Tesouro IPCA+ com Juros Semestrais;15/05/2013;01/12/2009; R$ 1.744,64 ;14.746; R$ 25.725.827,03 
Tesouro Prefixado com Juros Semestrais;01/01/2011;01/01/2010; R$ 974,99 ;32.669; R$ 31.851.952,63 
Tesouro Prefixado com Juros Semestrais;01/01/2013;01/01/2010; R$ 903,98 ;21.505; R$ 19.440.026,45 
Tesouro Prefixado com Juros Semestrais;01/07/2010;01/01/2010; R$ 996,71 ;40.395; R$ 40.262.588,69 
Tesouro Prefixado com Juros Semestrais;01/01/2014;01/01/2010; R$ 920,64 ;150.514; R$ 138.568.965,82 
Tesouro Prefixado com Juros Semestrais;01/01/2017;01/01/2010; R$ 867,11 ;287.372; R$ 249.182.558,88 
Tesouro Prefixado com Juros Semestrais;01/01/2012;01/01/2010; R$ 943,84 ;46.616; R$ 43.998.433,15 
Tesouro Prefixado;01/01/2013;01/01/2010; R$ 711,11 ;68.674; R$ 48.834.990,11 
Tesouro Prefixado;01/01/2012;01/01/2010; R$ 813,66 ;289.016; R$ 235.159.288,47 
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/01/2010; R$ 1.931,20 ;8.653; R$ 16.711.451,79 
Tesouro Prefixado;01/01/2011;01/01/2010; R$ 908,14 ;168.110; R$ 152.667.592,48 
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/01/2010; R$ 2.213,91 ;13.515; R$ 29.920.577,36 
Tesouro Prefixado;01/07/2010;01/01/2010; R$ 948,01 ;187.347; R$ 177.607.328,16 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/01/2010; R$ 1.861,89 ;8.412; R$ 15.662.978,86 
Tesouro IPCA+ com Juros Semestrais;15/08/2012;01/12/2009; R$ 1.848,59 ;91.027; R$ 168.272.505,41 
Tesouro IPCA+ com Juros Semestrais;15/05/2017;01/12/2009; R$ 1.668,14 ;18.216; R$ 30.386.927,63 
Tesouro IPCA+ com Juros Semestrais;15/08/2010;01/12/2009; R$ 1.878,32 ;96.941; R$ 182.087.438,52 
Tesouro IPCA+;15/05/2015;01/12/2009; R$ 1.247,01 ;335.164; R$ 417.952.314,85 
Tesouro IPCA+ com Juros Semestrais;15/05/2011;01/12/2009; R$ 1.817,27 ;74.962; R$ 136.226.525,46 
Tesouro IPCA+;15/08/2024;01/12/2009; R$ 674,64 ;227.938; R$ 153.776.968,96 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/12/2009; R$ 1.682,80 ;12.602; R$ 21.206.024,35 
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/12/2009; R$ 1.762,10 ;75.390; R$ 132.844.568,91 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/12/2009; R$ 1.641,61 ;25.007; R$ 41.052.472,49 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/12/2009; R$ 1.564,79 ;34.211; R$ 53.532.580,37 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/01/2010; R$ 2.862,57 ;12.350; R$ 35.352.161,85 
Tesouro Prefixado;01/01/2023;01/09/2018; R$ 639,25 ;4.222.602; R$ 2.699.288.678,85 
Tesouro Prefixado;01/01/2019;01/11/2018; R$ 990,13 ;1.003.339; R$ 993.433.704,52 
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/11/2018; R$ 892,12 ;244.159; R$ 217.819.870,93 
Tesouro Prefixado;01/01/2023;01/11/2018; R$ 650,29 ;3.959.512; R$ 2.574.840.740,55 
Tesouro Prefixado;01/01/2020;01/11/2018; R$ 909,46 ;703.677; R$ 639.969.480,77 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/11/2018; R$ 977,82 ;456.490; R$ 446.363.260,76 
Tesouro IPCA+;15/05/2045;01/11/2018; R$ 791,69 ;1.384.833; R$ 1.096.360.564,72 
Tesouro Prefixado;01/01/2019;01/12/2018; R$ 999,53 ;976.837; R$ 976.375.372,35 
Tesouro Selic;01/03/2021;01/12/2018; R$ 9.874,75 ;422.451; R$ 4.171.596.130,13 
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/12/2018; R$ 901,35 ;240.434; R$ 216.716.351,39 
Tesouro Prefixado;01/01/2020;01/08/2018; R$ 890,46 ;737.155; R$ 656.406.908,22 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/08/2018; R$ 952,96 ;491.570; R$ 468.444.302,69 
Tesouro Prefixado com Juros Semestrais;01/01/2021;01/09/2018; R$ 993,17 ;109.142; R$ 108.396.331,06 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/09/2018; R$ 1.002,01 ;166.035; R$ 166.369.049,70 
Tesouro IPCA+;15/05/2019;01/11/2018; R$ 3.071,91 ;2.896.601; R$ 8.898.084.222,68 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/11/2018; R$ 3.276,55 ;472.709; R$ 1.548.856.817,73 
Tesouro IPCA+ com Juros Semestrais;15/08/2020;01/11/2018; R$ 3.214,11 ;534.619; R$ 1.718.324.764,60 
Tesouro IPCA+;15/05/2035;01/11/2018; R$ 1.246,40 ;4.765.469; R$ 5.939.673.018,24 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/11/2018; R$ 3.152,60 ;39.541; R$ 124.657.783,10 
Tesouro IPCA+;15/08/2024;01/11/2018; R$ 2.294,70 ;3.724.216; R$ 8.545.953.461,36 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/11/2018; R$ 3.266,94 ;398.998; R$ 1.303.499.714,48 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/11/2018; R$ 3.061,83 ;47.764; R$ 146.244.318,82 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/11/2018; R$ 3.193,91 ;484.170; R$ 1.546.397.185,18 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/11/2018; R$ 1.018,72 ;162.334; R$ 165.372.440,68 
Tesouro Prefixado com Juros Semestrais;01/01/2021;01/11/2018; R$ 1.011,22 ;107.191; R$ 108.392.936,41 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/12/2018; R$ 4.906,46 ;8.365; R$ 41.043.979,27 
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/12/2018; R$ 3.711,25 ;5.782; R$ 21.458.196,17 
Tesouro IPCA+;15/05/2045;01/08/2018; R$ 779,74 ;1.340.209; R$ 1.045.011.145,33 
Tesouro IPCA+;15/05/2019;01/08/2018; R$ 3.002,74 ;3.039.786; R$ 9.127.684.009,59 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/08/2018; R$ 3.200,95 ;446.514; R$ 1.429.270.991,86 
Tesouro IPCA+;15/05/2035;01/08/2018; R$ 1.217,47 ;4.771.379; R$ 5.809.006.324,15 
Tesouro IPCA+ com Juros Semestrais;15/08/2020;01/08/2018; R$ 3.144,88 ;551.163; R$ 1.733.340.485,48 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/08/2018; R$ 3.081,57 ;40.702; R$ 125.426.237,50 
